gpu_power_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.0,1766572551410
0,0.0,1766572551932
0,0.0,1766572552433
0,0.0,1766572552987
0,0.0,1766572553549
0,0.0,1766572554081
0,0.0,1766572554596
0,0.0,1766572555128
0,0.0,1766572555735
0,0.0,1766572556380
0,0.0,1766572557024
0,0.0,1766572557756
0,0.0,1766572558426
0,0.0,1766572559054
0,0.0,1766572559670
0,0.0,1766572560293
0,0.0,1766572561206
0,0.0,1766572562089
0,0.0,1766572562815
0,0.0,1766572563535
0,0.0,1766572564334
0,0.0,1766572565211
0,0.0,1766572566146
0,0.0,1766572566911
0,0.0,1766572567510
0,0.0,1766572568310
0,0.0,1766572569043
0,0.0,1766572570052
0,0.0,1766572570879
0,0.0,1766572571514
0,0.0,1766572572386
0,0.0,1766572573147
0,0.0,1766572574031
0,0.0,1766572574724
0,0.0,1766572575546
0,0.0,1766572576556
0,0.0,1766572577203
0,0.0,1766572578013
0,0.0,1766572578840
0,0.0,1766572579790
0,0.0,1766572580513
0,0.0,1766572581182
0,0.0,1766572582154
0,0.0,1766572582876
0,0.0,1766572583632
0,0.0,1766572584372
0,0.0,1766572585221
0,0.0,1766572586115
0,0.0,1766572586717
0,0.0,1766572587601
0,0.0,1766572588508
0,0.0,1766572589290
0,0.0,1766572590113
0,0.0,1766572590813
0,0.0,1766572591778
0,0.0,1766572592445
0,0.0,1766572593122
0,0.0,1766572594082
0,0.0,1766572594932
0,0.0,1766572595747
0,0.0,1766572596356
0,0.0,1766572597243
0,0.0,1766572598104
0,0.0,1766572598771
0,0.0,1766572599641
0,0.0,1766572600461
0,0.0,1766572601393
0,0.0,1766572601995
0,0.0,1766572602694
0,0.0,1766572603596
0,0.0,1766572604424
0,0.0,1766572605233
0,0.0,1766572605906
0,0.0,1766572606873
0,0.0,1766572607573
0,0.0,1766572608215
0,0.0,1766572609028
0,0.0,1766572609805
0,0.0,1766572610650
0,0.0,1766572611248
0,0.0,1766572611945
0,0.0,1766572612908
0,0.0,1766572613600
0,0.0,1766572614305
0,0.0,1766572615047
0,0.0,1766572615796
0,0.0,1766572616689
0,0.0,1766572617319
0,0.0,1766572617934
0,0.0,1766572618884
0,0.0,1766572619744
0,0.0,1766572620551
0,0.0,1766572621194
0,0.0,1766572622038
0,0.0,1766572622980
0,0.0,1766572623660
0,0.0,1766572624567
0,0.0,1766572625437
0,0.0,1766572626354
0,0.0,1766572626980
0,0.0,1766572627671
0,0.0,1766572628560
0,0.0,1766572629390
0,0.0,1766572630183
0,0.0,1766572630928
0,0.0,1766572631963
0,0.0,1766572632703
0,0.0,1766572633349
0,0.0,1766572634237
0,0.0,1766572635112
0,0.0,1766572635931
0,0.0,1766572636611
0,0.0,1766572637424
0,0.0,1766572638396
0,0.0,1766572639022
0,0.0,1766572639791
0,0.0,1766572640556
0,0.0,1766572641442
0,0.0,1766572642249
0,0.0,1766572642856
0,0.0,1766572643658
0,0.0,1766572644563
0,0.0,1766572645264
0,0.0,1766572646085
0,0.0,1766572646783
0,0.0,1766572647828
0,0.0,1766572648540
0,0.0,1766572649203
0,0.0,1766572650203
0,0.0,1766572651012
0,0.0,1766572651768
0,0.0,1766572652428
0,0.0,1766572653291
0,0.0,1766572654226
0,0.0,1766572654937
0,0.0,1766572655744
0,0.0,1766572656513
0,0.0,1766572657385
0,0.0,1766572658055
0,0.0,1766572658692
0,0.0,1766572659581
0,0.0,1766572660377
0,0.0,1766572661238
0,0.0,1766572661959
0,0.0,1766572662934
0,0.0,1766572663804
0,0.0,1766572664459
0,0.0,1766572665202
0,0.0,1766572666005
0,0.0,1766572667016
0,0.0,1766572667703
0,0.0,1766572668339
0,0.0,1766572669313
0,0.0,1766572670051
0,0.0,1766572670809
0,0.0,1766572671553
0,0.0,1766572672313
0,0.0,1766572673290
0,0.0,1766572673906
0,0.0,1766572674732
0,0.0,1766572675657
0,0.0,1766572676481
0,0.0,1766572677218
0,0.0,1766572677835
0,0.0,1766572678801
0,0.0,1766572679576
0,0.0,1766572680216
0,0.0,1766572680973
0,0.0,1766572681732
0,0.0,1766572682652
0,0.0,1766572683309
0,0.0,1766572683982
0,0.0,1766572684820
0,0.0,1766572685615
0,0.0,1766572686530
0,0.0,1766572687144
0,0.0,1766572688053
0,0.0,1766572688968
0,0.0,1766572689610
0,0.0,1766572690442
0,0.0,1766572691205
0,0.0,1766572692055
0,0.0,1766572692832
0,0.0,1766572693444
0,0.0,1766572694442
0,0.0,1766572695308
0,0.0,1766572696013
