Loss,Context.TRAINING,None
0,2.326667547225952,1766742366333
0,56.59349822998047,1766742366708
0,53.4057502746582,1766742367030
0,69.62179565429688,1766742367364
0,64.44111633300781,1766742367679
0,43.96110916137695,1766742367998
0,23.018138885498047,1766742368312
0,14.389768600463867,1766742368629
0,11.413003921508789,1766742368938
0,11.126436233520508,1766742369251
0,6.245405673980713,1766742369567
0,6.230441093444824,1766742369875
0,4.947633743286133,1766742370190
0,4.586917877197266,1766742370517
0,4.4542036056518555,1766742370830
0,4.825250625610352,1766742371144
0,3.0445027351379395,1766742371463
0,2.597182273864746,1766742371796
0,3.0755391120910645,1766742372116
0,2.7485601902008057,1766742372443
0,2.859351873397827,1766742372764
0,2.7626078128814697,1766742373086
0,2.4537570476531982,1766742373412
0,2.4782071113586426,1766742373731
0,2.5298256874084473,1766742374049
0,2.085712432861328,1766742374364
0,2.668151378631592,1766742374680
0,2.4903640747070312,1766742374992
0,2.782219171524048,1766742375303
0,2.255763530731201,1766742375628
0,2.1021599769592285,1766742375947
0,2.1107845306396484,1766742376278
0,2.234503746032715,1766742376602
0,2.0105466842651367,1766742376918
0,2.1805081367492676,1766742377240
0,2.364192008972168,1766742377563
0,2.2523841857910156,1766742377882
0,2.273904323577881,1766742378198
0,2.206671953201294,1766742378520
0,2.515967845916748,1766742378842
0,1.893108606338501,1766742379168
0,2.008857250213623,1766742379482
0,2.10469388961792,1766742379799
0,2.0673019886016846,1766742380115
0,2.0643815994262695,1766742380431
0,2.1995420455932617,1766742380743
0,1.8351720571517944,1766742381053
0,1.8504700660705566,1766742381367
0,1.9632209539413452,1766742381675
0,1.799342393875122,1766742381985
0,1.9587631225585938,1766742382309
0,1.8960069417953491,1766742382623
0,1.8522086143493652,1766742382938
0,1.6512138843536377,1766742383269
0,1.9501750469207764,1766742383607
0,1.930457353591919,1766742383927
0,1.7739261388778687,1766742384254
0,1.731844425201416,1766742384576
0,1.5514729022979736,1766742384898
0,1.7624802589416504,1766742385222
0,1.8026115894317627,1766742385540
0,1.4710159301757812,1766742385859
0,1.6258494853973389,1766742386176
0,1.536686897277832,1766742386485
0,1.1929025650024414,1766742386794
0,1.49423348903656,1766742387108
0,1.546625018119812,1766742387419
0,1.3265575170516968,1766742387725
0,1.341033697128296,1766742388054
0,1.2334942817687988,1766742388389
0,1.226163387298584,1766742388705
0,1.2289317846298218,1766742389029
0,1.4069275856018066,1766742389365
0,1.1649293899536133,1766742389680
0,1.240252137184143,1766742390003
0,1.3475450277328491,1766742390327
