gpu_power_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.0,1766822735411
0,0.0,1766822735703
0,0.0,1766822735861
0,0.0,1766822736019
0,0.0,1766822736213
0,0.0,1766822736380
0,0.0,1766822736560
0,0.0,1766822736754
0,0.0,1766822736912
0,0.0,1766822737112
0,0.0,1766822737279
0,0.0,1766822737459
0,0.0,1766822737639
0,0.0,1766822737802
0,0.0,1766822737978
0,0.0,1766822738165
0,0.0,1766822738353
0,0.0,1766822738526
0,0.0,1766822738706
0,0.0,1766822738866
0,0.0,1766822739062
0,0.0,1766822739234
0,0.0,1766822739398
0,0.0,1766822739590
0,0.0,1766822739746
0,0.0,1766822739913
0,0.0,1766822740085
0,0.0,1766822740306
0,0.0,1766822740497
0,0.0,1766822740668
0,0.0,1766822740820
0,0.0,1766822740995
0,0.0,1766822741162
0,0.0,1766822741343
0,0.0,1766822741522
0,0.0,1766822741690
0,0.0,1766822741868
0,0.0,1766822742045
0,0.0,1766822742218
0,0.0,1766822742400
0,0.0,1766822742572
0,0.0,1766822742752
0,0.0,1766822742940
0,0.0,1766822743126
0,0.0,1766822743292
0,0.0,1766822743484
0,0.0,1766822743654
0,0.0,1766822743887
0,0.0,1766822744040
0,0.0,1766822744212
0,0.0,1766822744401
0,0.0,1766822744580
0,0.0,1766822744769
0,0.0,1766822744948
0,0.0,1766822745123
0,0.0,1766822745311
0,0.0,1766822745520
0,0.0,1766822745692
0,0.0,1766822745880
0,0.0,1766822746043
0,0.0,1766822746247
0,0.0,1766822746425
0,0.0,1766822746607
0,0.0,1766822746813
