Loss,Context.TRAINING,None
0,2.2965240478515625,1766494874040
0,60.44959259033203,1766494875026
0,65.6805419921875,1766494875572
0,91.26988983154297,1766494876568
0,70.3504409790039,1766494877136
0,56.952030181884766,1766494877785
0,32.95403289794922,1766494878667
0,19.3427791595459,1766494879180
0,19.55643081665039,1766494879862
0,8.784523010253906,1766494880669
0,4.973674774169922,1766494881215
0,4.773726463317871,1766494882022
0,4.259369373321533,1766494882678
0,3.494363784790039,1766494883227
0,3.4234442710876465,1766494884048
0,4.349183082580566,1766494884710
0,3.4388813972473145,1766494885322
0,2.8925132751464844,1766494886117
0,2.787318468093872,1766494886698
0,2.861689567565918,1766494887391
0,2.722055196762085,1766494888139
0,2.4790091514587402,1766494888737
0,2.406489610671997,1766494889407
0,2.7403171062469482,1766494890021
0,2.3106484413146973,1766494890570
0,2.488124132156372,1766494891268
0,2.5618224143981934,1766494891854
0,2.2164268493652344,1766494892449
0,2.318605422973633,1766494893062
0,2.0836470127105713,1766494893638
0,2.190986156463623,1766494894168
0,2.2131636142730713,1766494894836
0,2.201082706451416,1766494895471
0,2.218230724334717,1766494895982
0,2.428192615509033,1766494896597
0,2.4372408390045166,1766494897250
0,2.2972240447998047,1766494897796
0,2.360908031463623,1766494898382
0,2.1328835487365723,1766494899051
0,1.9548492431640625,1766494899567
0,2.1005589962005615,1766494900097
0,2.0669631958007812,1766494900803
0,1.9555436372756958,1766494901329
0,1.9918534755706787,1766494901919
0,1.8234667778015137,1766494902585
0,1.8285058736801147,1766494903109
0,2.309452772140503,1766494903657
0,1.9418799877166748,1766494904313
0,2.0819754600524902,1766494904864
0,1.771234393119812,1766494905412
0,1.7904343605041504,1766494906110
0,1.9448877573013306,1766494906689
0,1.9945166110992432,1766494907242
0,1.8623807430267334,1766494907958
0,1.888566493988037,1766494908525
0,1.9884886741638184,1766494909102
0,1.9392751455307007,1766494909789
0,1.7368817329406738,1766494910354
0,1.6508889198303223,1766494910873
0,2.0105786323547363,1766494911535
0,1.488451600074768,1766494912103
0,1.7139248847961426,1766494912686
0,1.491426944732666,1766494913401
0,1.7340846061706543,1766494913966
1,1.6970019340515137,1766494914488
1,1.6412715911865234,1766494915119
1,1.6468429565429688,1766494915716
1,1.4358596801757812,1766494916263
1,1.4992773532867432,1766494916931
1,1.4016802310943604,1766494917561
1,1.6066616773605347,1766494918047
1,1.4023357629776,1766494918709
1,1.3681179285049438,1766494919314
1,1.210731863975525,1766494919859
1,1.4657366275787354,1766494920516
1,1.3756413459777832,1766494921142
1,1.2882928848266602,1766494921651
1,1.2434320449829102,1766494922269
1,1.1850378513336182,1766494922951
1,1.3743836879730225,1766494923459
1,1.3324998617172241,1766494924051
1,1.0403591394424438,1766494924773
1,1.2106964588165283,1766494925323
1,1.0754534006118774,1766494925925
1,1.7144837379455566,1766494926635
1,1.5561964511871338,1766494927180
1,1.1878128051757812,1766494927795
1,1.2235932350158691,1766494928669
1,1.1462230682373047,1766494929405
1,1.2111623287200928,1766494930039
1,1.185760498046875,1766494930598
1,1.1476548910140991,1766494931227
1,0.8752930164337158,1766494931990
1,0.9775484204292297,1766494932622
1,0.9777882099151611,1766494933312
1,0.9418587684631348,1766494934027
1,1.2443487644195557,1766494934648
1,1.3597424030303955,1766494935332
1,1.2738301753997803,1766494936066
1,0.8014094829559326,1766494936768
